sample_id,core_sample_id,timepoint,species,tissue,mouse_id,treatment,treatment_group,normal_or_tumor,sample_notes,cellranger_dir,pool_dir,cellbender_h5_dir,cellbender_seurat_dir,cellbender_fpr_dir
25,11389-DA-25,month18,Mouse,Mammary,A029b,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
26,11389-DA-26,month18,Mouse,Mammary,A030b,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
27,11389-DA-27,month18,Mouse,Mammary,A031a,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
28,11389-DA-28,month18,Mouse,Mammary,A032a,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
29,11389-DA-29,month18,Mouse,Mammary,A044b,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
30,11389-DA-30,month18,Mouse,Mammary,A052a,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
31,11389-DA-31,month18,Mouse,Mammary,A053c,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
32,11389-DA-32,month18,Mouse,Mammary,Pb001d,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
33,11389-DA-33,week10,Mouse,Mammary,A027b,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
34,11389-DA-34,week10,Mouse,Mammary,A029a,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
35,11389-DA-35,week10,Mouse,Mammary,A030a,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
36,11389-DA-36,week10,Mouse,Mammary,A031h,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
37,11389-DA-37,week10,Mouse,Mammary,A051a,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
38,11389-DA-38,week10,Mouse,Mammary,A052b,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
39,11389-DA-39,week10,Mouse,Mammary,A053d,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
40,11389-DA-40,week10,Mouse,Mammary,A054a,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool03/outs/per_sample_outs,cellbender/cellbender_h5_outputs/,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0
