sample_id,core_sample_id,timepoint,species,tissue,mouse_id,dam_id,cohort,cohort_id,treatment,treatment_group,normal_or_tumor,sample_notes,cellranger_dir,pool_dir,cellranger_raw_h5_filename,cellranger_filtered_h5_filename,cellbender_h5_dir,cellbender_seurat_h5_dir,fpr_dir,cellbender_seurat_h5_filename,cellbender_h5_filename
32,8651-JC-32,3_weeks,Mouse,Mammary,Pb016a,Pb016,cohort 0,0,Control,ctrl,Normal,Flash frozen tissue,8651-JC-mammary/10x_analysis_JC-8651_cellranger_v.9.0.0,8651-JC_P02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_8651-JC-32_FPR_0.0_filtered_seurat.h5,output_cellbender_8651-JC-32_FPR_0.0.h5
1,11389-DA-1,7_months,Mouse,Mammary,A027d,A027,AO cohort 4,4,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-1_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-1_FPR_0.0.h5
2,11389-DA-2,7_months,Mouse,Mammary,A029d,A029,AO cohort 4,4,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-2_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-2_FPR_0.0.h5
3,11389-DA-3,7_months,Mouse,Mammary,A030c,A030,AO cohort 4,4,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-3_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-3_FPR_0.0.h5
4,11389-DA-4,7_months,Mouse,Mammary,A031b,A031,AO cohort 4,4,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-4_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-4_FPR_0.0.h5
5,11389-DA-5,7_months,Mouse,Mammary,A051b,A051,AO cohort 6,6,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-5_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-5_FPR_0.0.h5
6,11389-DA-6,7_months,Mouse,Mammary,A052c,A052,AO cohort 6,6,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-6_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-6_FPR_0.0.h5
7,11389-DA-7,7_months,Mouse,Mammary,A053a,A053,AO cohort 6,6,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-7_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-7_FPR_0.0.h5
8,11389-DA-8,7_months,Mouse,Mammary,A054b,A054,AO cohort 6,6,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-8_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-8_FPR_0.0.h5
9,11389-DA-9,week18.4dam,Mouse,Mammary,053a,53,cohort 5,5,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-9_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-9_FPR_0.0.h5
10,11389-DA-10,week18.4dam,Mouse,Mammary,056c,56,cohort 6,6,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-10_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-10_FPR_0.0.h5
11,11389-DA-11,week18.4dam,Mouse,Mammary,060a,60,cohort 6,6,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-11_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-11_FPR_0.0.h5
12,11389-DA-12,week18.4dam,Mouse,Mammary,073b,73,cohort 7,7,Pb,pb,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-12_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-12_FPR_0.0.h5
13,11389-DA-13,week18.4dam,Mouse,Mammary,038a,38,cohort 4,4,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-13_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-13_FPR_0.0.h5
14,11389-DA-14,week18.4dam,Mouse,Mammary,041a,41,cohort 4,4,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-14_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-14_FPR_0.0.h5
15,11389-DA-15,week18.4dam,Mouse,Mammary,073a,73,cohort 7,7,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-15_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-15_FPR_0.0.h5
16,11389-DA-16,week18.4dam,Mouse,Mammary,074a,74,cohort 7,7,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool01/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-16_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-16_FPR_0.0.h5
25,11389-DA-25,18_months,Mouse,Mammary,A029b,A029,cohort 4,4,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-25_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-25_FPR_0.0.h5
26,11389-DA-26,18_months,Mouse,Mammary,A030b,A030,cohort 4,4,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-26_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-26_FPR_0.0.h5
27,11389-DA-27,18_months,Mouse,Mammary,A031a,A031,cohort 4,4,Control,ctrl,Normal,Flash frozen tissue,10x_analysis_11389-DA/10x_analysis_DA-11389_cellranger_v.9.0.0,11389-DA_Pool02/outs/per_sample_outs,count/sample_raw_feature_bc_matrix.h5,count/sample_filtered_feature_bc_matrix.h5,cellbender/cellbender_h5_outputs,cellbender/cellbender_h5_outputs_for_seurat,FPR_0.0,output_cellbender_11389-DA-27_FPR_0.0_filtered_seurat.h5,output_cellbender_11389-DA-27_FPR_0.0.h5
